Isolate_Original,Isolate_ID,Location,Substrate,XC & PB's Isolates
6,ET1,Cawsands,Treated Sediment,PB T1 3.1.CS M9
13,ET2,Cawsands,Treated Sediment,PB T0 2.1.C M8
15,ET3,Drake's Island,Treated Sediment,PB T0N3.1.D1 r1 M8 20
19,ET4,Cawsands,Treated Sediment,PB T0 3.1.C M32
23,ET5,Cawsands,Treated Sediment,PB T0 2.1.CS 10-2 M2 34
26,ET6,Cawsands,Treated Sediment,PB T0 2.1.C M7
27,ET7,Cawsands,Treated Sediment,PB T0 2.1.C M9
28,ET8,Cawsands,Treated Sediment,PB T0 2.1.C M27
29,ET9,Cawsands,Treated Sediment,PB T0 3.1.C M5
30,ET10,Cawsands,Treated Sediment,PB T0 3.1.C M6
33,ET11,Cawsands,Treated Sediment,PB T1 1.2.CSA M2
40,ET12,Cawsands,Treated Sediment,PB T0 3.1.C M5
42,ET13,Cawsands,Treated Sediment,PB T0 2.1.C M9
43,ET14,Cawsands,Treated Sediment,PB T0 2.1.C M7
46,ET15,Drake's Island,Treated Sediment,PB T1 3.1.D1 M7
47,ET16,Cawsands,Treated Sediment,PB T0 1.1.C r2 n1
48,ET17,Cawsands,Treated Sediment,PB T0 1.1.C 10-3 r1 n6
49,ET18,Drake's Island,Treated Sediment,PB T1 3.1.DIA M8
53,ET19,Cawsands,Treated Sediment,PB T0 2.1.CS 10-2 M2 34
62,ET20,Cawsands,Treated Sediment,PB T1 3.1.C M1
71,ET21,Cawsands,Treated Sediment,PB T0 3.1.C M9
72,ET22,Cawsands,Treated Sediment,PB T1 3.1.CSA M4
73,ET23,Drake's Island,Treated Sediment,PB T1 1.1.D1 r2n5
75,ET24,Cawsands,Treated Sediment,PB 1.1.C r2n3
77,ET25,Cawsands,Treated Sediment,PB T1 2.1.CS M7
82,ET26,Cawsands,Treated Sediment,PB T0 2.1.C M8
89,ET27,Cawsands,Treated Sediment,PB T1 1.2.CSA M29
90,ET28,Cawsands,Treated Sediment,PB T0 3.1.C M7
94,ET29,Drake's Island,Treated Sediment,PB T1 1.1.D1 r1n4
