Isolate_Original,Isolate_ID,Location,Substrate,Growth (Final)
6,ET1,Cawsands,Treated Sediment,N
13,ET2,Cawsands,Treated Sediment,N
15,ET3,Drake's Island,Treated Sediment,N
19,ET4,Cawsands,Treated Sediment,N
23,ET5,Cawsands,Treated Sediment,N
26,ET6,Cawsands,Treated Sediment,Y
27,ET7,Cawsands,Treated Sediment,N
28,ET8,Cawsands,Treated Sediment,Y
29,ET9,Cawsands,Treated Sediment,N
30,ET10,Cawsands,Treated Sediment,Y
33,ET11,Cawsands,Treated Sediment,N
40,ET12,Cawsands,Treated Sediment,N
42,ET13,Cawsands,Treated Sediment,N
43,ET14,Cawsands,Treated Sediment,N
46,ET15,Drake's Island,Treated Sediment,Y
47,ET16,Cawsands,Treated Sediment,N
48,ET17,Cawsands,Treated Sediment,N
49,ET18,Drake's Island,Treated Sediment,N
53,ET19,Cawsands,Treated Sediment,N
62,ET20,Cawsands,Treated Sediment,Y
71,ET21,Cawsands,Treated Sediment,Y
72,ET22,Cawsands,Treated Sediment,N
73,ET23,Drake's Island,Treated Sediment,Y
75,ET24,Cawsands,Treated Sediment,Y
77,ET25,Cawsands,Treated Sediment,Y
82,ET26,Cawsands,Treated Sediment,Y
89,ET27,Cawsands,Treated Sediment,N
90,ET28,Cawsands,Treated Sediment,Y
94,ET29,Drake's Island,Treated Sediment,Y
98,ET30,Cawsands,Treated Sediment,Y
114,ET33,Cawsands,Natural Sediment,N
115,ET34,Drake's Island,Natural Sediment,N
116,ET35,Cawsands,Treated Sediment,Y
120,ET36,Drake's Island,Treated Sediment,N
125,ET37,Cawsands,Natural Sediment,N
136,ET40,Drake's Island,Root,N
143,ET42,Cawsands,Root,N
144,ET43,Drake's Island,Root,N
145,ET44,Cawsands,Root,Y
146,ET45,Drake's Island,Root,N
147,ET46,Cawsands,Root,Y
160,ET48,Drake's Island,Natural Sediment,N
175,ET49,Drake's Island,Root,N
176,ET50,Cawsands,Root,N
179,ET51,Cawsands,Root,N
180,ET52,Cawsands,Natural Sediment,N
182,ET53,Drake's Island,Root,N
189,ET54,Cawsands,Root,N
192,ET55,Cawsands,Treated Sediment,N
195,ET56,Cawsands,Treated Sediment,Y
199,ET57,Cawsands,Treated Sediment,N
200,ET58,Cawsands,Treated Sediment,N
101R2,ET59,Cawsands,Root,N
106R2,ET60,Cawsands,Treated Sediment,N
11R,ET61,Drake's Island,Treated Sediment,N
129R,ET62,Cawsands,Natural Sediment,N
139R2,ET66,Cawsands,Root,N
151R,ET68,Cawsands,Root,N
156R2,ET70,Cawsands,Natural Sediment,N
163R2,ET76,Cawsands,Root,N
168R2,ET79,Cawsands,Root,Y
169R2,ET80,Cawsands,Root,Y
172R2,ET81,Cawsands,Root,N
173R2,ET82,Cawsands,Root,N
175R,ET83,Drake's Island,Root,N
178R,ET84,Cawsands,Root,N
179R2,ET85,Cawsands,Root,N
184R2,ET87,Drake's Island,Root,N
185aR,ET88,Drake's Island,Natural Sediment,N
185bR,ET89,Drake's Island,Natural Sediment,N
197R,ET90,Cawsands,Treated Sediment,N
1R,ET91,Drake's Island,Treated Sediment,N
205aR,ET92,Drake's Island,Treated Sediment,N
205bR,ET93,Drake's Island,Treated Sediment,Y
70R,ET94,Cawsands,Treated Sediment,N
78R2,ET95,Cawsands,Root,N
79R,ET96,Drake's Island,Natural Sediment,Y
96aR,ET97,Cawsands,Treated Sediment,N
96bR,ET98,Cawsands,Treated Sediment,N
